protein.Accession,protein_probability,protein_probability_soft_label,gene_symbol,mRNA_TPM,hard_label
A0A024RBG1,0.890031573,0.667430145,NUDT4B,0,
A0A075B6H7,0.700122037,0.267382912,IGKV3-7,0,0
A0A075B6H8,0.286946857,0.056265098,IGKV1D-42,0,0
A0A075B6L6,0.943529498,0.140939875,TRBV7-3,0,0
A0A075B6N1,0.289679561,0.153118701,TRBV19,0,0
A0A075B6N2,0.259341054,0.128836068,TRBV20-1,0.370502274,0
A0A075B6N3,0.870094759,0.239506456,TRBV24-1,0,0
A0A075B6R0,0.151571308,0.208965854,TRGV2,0,0
A0A075B6S4,0.408658519,0.127506317,IGKV1D-17,0,0
A0A075B759,0.997723839,0.714242427,PPIAL4E,0.366824223,1
A0A087WSY6,0.139051133,0.232826324,IGKV3D-15,0.467725401,0
A0A087WUL8,0.319468323,0.797501271,NBPF19,1.01896704,1
A0A087WUV0,0.210057225,0.3738169,ZNF892,0,
A0A087X0M5,0.976280424,0.427089477,TRBV18,0,
A0A087X1C5,0.243008813,0.369701941,CYP2D7,0.035708707,
A0A096LP49,0.401560357,0.360036172,CCDC187,0.178123745,
A0A096LP55,0.995859909,0.882628152,UQCRHL,3.947078134,1
A0A096LPI5,0.839796267,0.071357682,CCDC28A-AS1,0.11157557,0
A0A0A0MS06,0.482650631,0.173689016,TRBV23-1,0,0
A0A0A0MS15,0.996394895,0.031090959,IGHV3-49,0,0
A0A0A0MT36,0.434949599,0.051026831,IGKV6D-21,0,0
A0A0A6YYL3,0.341796612,0.369213089,POTEB,0,
A0A0B4J1V1,0.99988214,0.807303247,IGHV3-21,0,1
A0A0B4J1V2,0.572661433,0.58979017,IGHV2-26,0,
A0A0B4J1X5,0.999539304,0.780588128,IGHV3-74,0,1
A0A0B4J1X8,0.99988214,0.385758908,IGHV3-43,0,
A0A0B4J268,0.214882942,0.168548335,TRAV4,0.963535638,0
A0A0B4J2D5,0.999902136,0.999999118,GATD3B,0,1
A0A0C4DH24,0.434949599,0.20473024,IGKV6-21,0,0
A0A0C4DH31,0.99777642,0.473629343,IGHV1-18,0,
A0A0C4DH32,0.99988214,0.497283832,IGHV3-20,0,
A0A0C4DH33,0.255050349,0.100393005,IGHV1-24,0,0
A0A0C4DH38,0.987092491,0.344235428,IGHV5-51,0,
A0A0C4DH42,0.999539304,0.743498413,IGHV3-66,0,1
A0A0C4DH55,0.700122037,0.412433554,IGKV3D-7,0,
A0A0G2JMD5,0.157032981,0.325603546,PRAMEF33,0,
A0A0G2JMI3,0.238125672,0.184490396,IGHV1-69-2,0,0
A0A0J9YVY3,0.998650007,0.639134392,IGHV7-4-1,0,
A0A0J9YWL9,0.313259692,0.387541172,TEX13C,0.061026714,
A0A0J9YX94,0.308427033,0.38277249,PNMA6F,0,
A0A0J9YXV3,0.137775194,0.283002203,GREP1,0.047730143,0
A0A0J9YXX1,0.987092491,0.139876007,IGHV5-10-1,0,0
A0A0U1RQS6,0.129822534,0,TMEM275,0,0
A0A0U1RRI6,0.234564587,0.347809706,CENPVL3,0,
A0A1B0GTU1,0.162909355,0.638905296,ZC3H11B,0.234410819,
A0A1B0GTY4,0.596584014,0.075757064,TEX50,0,0
A0A1B0GU33,0.168521108,0,TEX53,0,0
A0A1B0GUA5,0.377280338,0.075488255,SMIM32,2.212727886,0
A0A1B0GUS4,0.999294838,0.955327858,UBE2L5,0.088496087,1
A0A1B0GUU1,0.203460222,0.364251367,C17orf113,1.037414204,
A0A1B0GUV1,0.97691861,0.411907159,C17orf114,0.206870538,
A0A1B0GUW6,0.15515688,0.371652753,SPEM3,0,
A0A1B0GV03,0.233522722,0.264230445,GOLGA6L7,0.179490561,0
A0A1B0GV85,0.211101336,0.10433127,REELD1,0.090512151,0
A0A1B0GV96,0.893339798,0.411275763,CHD9NB,0,
A0A1B0GVG6,0.328440849,0.067082091,TEX54,1.329650692,0
A0A1B0GVH4,0.289828128,0.321537775,PRSS51,0.2595029,
A0A1B0GVH6,0.22744405,0.293235873,C13orf42,0,0
A0A1B0GVH7,0.232608139,0.199911379,IQCM,0,0
A0A1B0GVM6,0.352302906,0.164811413,C11orf97,0.0336406,0
A0A1B0GVN3,0.500516618,0.493068747,C2orf92,0.505607236,
A0A1B0GVZ2,0.593651385,0.055130855,FAM240B,0,0
A0A1B0GW35,0.166044764,0.308369963,EXOC1L,0,
A0A1B0GXF2,0.790855031,0.131673645,TRBV7-2,0,0
A0A1W2PPH5,0.185604443,0.491151256,TAF11L13,0,
A0A1W2PPK0,0.174579754,0.254470322,CPHXL2,0,0
A0A1W2PPM1,0.250761867,0.312402499,CPHXL,0,
A0A1W2PPW3,0.604841772,0.380405079,TAF11L12,0,
A0A1W2PQ09,0.157462583,0.339086235,TAF11L11,0,
A0A1W2PQ72,0.344249914,0.335913382,MSANTD7,0,
A0A1W2PQL4,0.133987638,0.201412059,ZNF722,0,0
A0A1W2PR95,0.606646067,0.562365182,IGBP1C,0,
A0A1W2PRP0,0.941640077,0.159327993,FOXL3,0,0
A0A286YF18,0.425805261,0.116769352,SMIM44,2.149557725,0
A0A2R8Y2Y2,0.225952232,0.382628008,C8orf90,0,
A0A2R8Y4L2,1,0.999999999,HNRNPA1L3,0.586078242,1
A0A2R8Y619,0.99921822,0.947912992,H2BK1,0,1
A0A2R8YFL7,0.350880887,0,OOSP4A,0,0
A0A494C071,0.151028916,0.33464467,PWWP4,0,
A0A494C086,0.159511115,0.188187506,SPDYE21,0.17828111,0
A0A494C0N9,0.1802329,0.119751332,FAM246B,0,0
A0A494C0Y3,0.1802329,0.119751332,FAM246A,0,0
A0A494C0Z2,0.159511115,0.323310147,SPDYE13,0,
A0A494C191,0.159511115,0.28081311,SPDYE9,0,0
A0A494C1R9,0.868967513,0.396939032,TSPY9,0,
A0A539,0.577955886,0.233411705,TRBV4-2,0,0
A0A578,0.246254116,0.160135611,TRBV5-1,0,0
A0A590UK83,0.827530368,0.072549405,SMIM45,0.739448837,0
A0A8I5KQE6,0.999999994,0.999999898,RPSA2,0,1
A0AUZ9,0.300655723,0.468787834,KANSL1L,0.643811516,
A0AV02,0.415272349,0.462394694,SLC12A8,1.122122452,
A0AVF1,0.341491386,0.29590427,IFT56,0,0
A0AVI2,0.218931652,0.398665142,FER1L5,0.010765543,
A0AVT1,0.931703559,0.937812818,UBA6,2.102028141,1
A0FGR8,0.998387226,0.999544867,ESYT2,3.285775368,1
A0FGR9,0.163350282,0.311028216,ESYT3,0.048778543,
A0JNW5,0.425954924,0.724287314,BLTP3B,0,1
A0JP26,0.325848535,0.360352616,POTEB3,0,
A0M8Q6,0.999999937,0.998985863,IGLC7,0,1
A0MZ66,0.920731988,0.920522123,SHTN1,1.268768093,1
A0PG75,0.225877166,0.023904176,PLSCR5,0,0
A0PJX0,0.293795658,0.074474553,CIB4,0.027570285,0
A1A4G5,0.194701234,0.12707008,LNP1,0.451675696,0
A1A4S6,0.287900694,0.533750659,ARHGAP10,0.599028798,
A1A4V9,0.599924553,0.320515746,CFAP119,4.42327813,
A1A519,0.690269521,0.469260931,FAM170A,0,
A1A5C7,0.195557778,0.201560734,SLC22A23,1.263929155,0
A1A5D9,0.1357891,0.47331697,BICDL2,4.244305826,
A1IGU5,0.13174899,0.24248126,ARHGEF37,0.331445465,0
A1KZ92,0.133376714,0.568237668,PXDNL,0.0020577,
A1L020,0.931496475,0.251805309,MEX3A,2.139826685,0
A1L162,0.339904004,0.088808665,ERICH2,0.070783543,0
A1L188,0.466244236,0.27541471,NDUFAF8,5.148127567,0
A1L390,0.139025808,0.372308066,PLEKHG3,3.659511108,
A1L443,0.297421148,0.338976328,NUTM2F,0.06240861,
A1L453,0.199760844,0.195643869,PRSS38,0,0
A1L4H1,0.311403708,0.533492037,SSC5D,0.691721315,
A1L4K1,0.162633379,0.220207064,FSD2,0.013178789,0
A1X283,0.260989343,0.39955977,SH3PXD2B,1.482006053,
A1YPR0,0.198586879,0.402656551,ZBTB7C,0.296419,
A2A2Z9,0.136083936,0.661876393,ANKRD18B,0.734966361,
