protein_id,integer_id
YNR077C,0
YDR444W,1
YHR213W,2
YLR465C,3
YDR543C,4
YCR038C,5
YJL221C,6
YIL055C,7
YGL175C,8
YCR091W,9
YER096W,10
YFL058W,11
YGL075C,12
YJL083W,13
YJR153W,14
YOL157C,15
YEL075C,16
YER189W,17
YIL160C,18
YFL056C,19
YCL068C,20
YFL065C,21
YFR022W,22
YOL161C,23
YDR369C,24
YDR403W,25
YIL172C,26
YJR155W,27
YLR156W,28
YLR464W,29
YBL080C,30
YFL064C,31
YGR110W,32
YPR202W,33
YIR039C,34
YJL103C,35
YLR054C,36
YBR297W,37
YER158C,38
YER188W,39
YFR017C,40
YGR287C,41
YIL028W,42
YJR053W,43
YJR154W,44
YKL224C,45
YOR156C,46
YEL076C,47
YGR088W,48
YIR030C,49
YLR462W,50
YER101C,51
YHR105W,52
YBR239C,53
YDL021W,54
YHR212C,55
YIR025W,56
YLR161W,57
YER179W,58
YFR029W,59
YGR058W,60
YHR011W,61
YIR042C,62
YMR154C,63
YDR254W,64
YDR263C,65
YER040W,66
YFL060C,67
YGL081W,68
YHR171W,69
YIL082W,70
YNL093W,71
YOR237W,72
YAR035W,73
YGR153W,74
YKL055C,75
YBL103C,76
YBR233W,77
YGR239C,78
YKL098W,79
YLL056C,80
YNL325C,81
YOR003W,82
YPR001W,83
YBR138C,84
YDL017W,85
YER015W,86
YFR021W,87
YHR035W,88
YIL061C,89
YJR156C,90
YMR204C,91
YMR213W,92
YDR043C,93
YER018C,94
YER084W,95
YGL194C,96
YGR006W,97
YKR019C,98
YLR431C,99
YML050W,100
YOL067C,101
YAR060C,102
YCL051W,103
YDR076W,104
YDR330W,105
YLR213C,106
YNL277W,107
YOL104C,108
YPR203W,109
YBR003W,110
YBR270C,111
YDL244W,112
YER041W,113
YGL003C,114
YGL144C,115
YHR006W,116
YIL003W,117
YIR009W,118
YKL095W,119
YKR097W,120
YML042W,121
YNL012W,122
YOR137C,123
YBL037W,124
YDL183C,125
YGR126W,126
YMR137C,127
YBR044C,128
YBR280C,129
YBR301W,130
YDR252W,131
YDR313C,132
YDR317W,133
YDR515W,134
YFL020C,135
YGL199C,136
YHL019C,137
YHR178W,138
YIL097W,139
YMR041C,140
YNR073C,141
YOL165C,142
YBL019W,143
YDL139C,144
YDR123C,145
YDR439W,146
YER097W,147
YER109C,148
YGL179C,149
YHL006C,150
YHR137W,151
YKL222C,152
YMR114C,153
YOR313C,154
YBR102C,155
YBR131W,156
YCR019W,157
YCR102C,158
YDR277C,159
YDR419W,160
YER170W,161
YFR008W,162
YGR068C,163
YIR007W,164
YJL100W,165
YJR146W,166
YKL162C,167
YLR394W,168
YMR007W,169
YOL066C,170
YOL164W,171
YPL249C,172
YAR053W,173
YAR068W,174
YDR109C,175
YDR499W,176
