protein_id,integer_id
YDR444W,0
YHR213W,1
YLR465C,2
YDR543C,3
YCR038C,4
YJL221C,5
YIL055C,6
YGL175C,7
YCR091W,8
YER096W,9
YFL058W,10
YGL075C,11
YJL083W,12
YJR153W,13
YOL157C,14
YEL075C,15
YER189W,16
YIL160C,17
YFL056C,18
YCL068C,19
YFL065C,20
YFR022W,21
YOL161C,22
YDR369C,23
YDR403W,24
YIL172C,25
YJR155W,26
YLR156W,27
YLR464W,28
YBL080C,29
YFL064C,30
YGR110W,31
YPR202W,32
YIR039C,33
YJL103C,34
YLR054C,35
YBR297W,36
YER158C,37
YER188W,38
YFR017C,39
YGR287C,40
YIL028W,41
YJR053W,42
YJR154W,43
YKL224C,44
YOR156C,45
YEL076C,46
YGR088W,47
YIR030C,48
YLR462W,49
YER101C,50
YHR105W,51
YBR239C,52
YDL021W,53
YHR212C,54
YIR025W,55
YLR161W,56
YER179W,57
YFR029W,58
YGR058W,59
YHR011W,60
YIR042C,61
YMR154C,62
YDR254W,63
YDR263C,64
YER040W,65
YFL060C,66
YGL081W,67
YHR171W,68
YIL082W,69
YNL093W,70
YOR237W,71
YAR035W,72
YGR153W,73
YKL055C,74
YBL103C,75
YBR233W,76
YGR239C,77
YKL098W,78
YLL056C,79
YNL325C,80
YOR003W,81
YPR001W,82
YBR138C,83
YDL017W,84
YER015W,85
YFR021W,86
YHR035W,87
YIL061C,88
YJR156C,89
YMR204C,90
YMR213W,91
YDR043C,92
YER018C,93
YER084W,94
YGL194C,95
YGR006W,96
YKR019C,97
YLR431C,98
YML050W,99
YOL067C,100
YAR060C,101
YCL051W,102
YDR076W,103
YDR330W,104
YLR213C,105
YNL277W,106
YOL104C,107
YPR203W,108
YBR003W,109
YBR270C,110
YDL244W,111
YER041W,112
YGL003C,113
YGL144C,114
YHR006W,115
YIL003W,116
YIR009W,117
YKL095W,118
YKR097W,119
YML042W,120
YNL012W,121
YOR137C,122
YBL037W,123
YDL183C,124
YGR126W,125
YMR137C,126
YBR044C,127
YBR280C,128
YBR301W,129
YDR252W,130
YDR313C,131
YDR317W,132
YDR515W,133
YFL020C,134
YGL199C,135
YHL019C,136
YHR178W,137
YIL097W,138
YMR041C,139
YNR073C,140
YOL165C,141
YBL019W,142
YDL139C,143
YDR123C,144
YDR439W,145
YER097W,146
YER109C,147
YGL179C,148
YHL006C,149
YHR137W,150
YKL222C,151
YMR114C,152
YOR313C,153
YBR102C,154
YBR131W,155
YCR019W,156
YCR102C,157
YDR277C,158
YDR419W,159
YER170W,160
YFR008W,161
YGR068C,162
YIR007W,163
YJL100W,164
YJR146W,165
YKL162C,166
YLR394W,167
YMR007W,168
YOL066C,169
YOL164W,170
YPL249C,171
YAR053W,172
YAR068W,173
YDR109C,174
YDR499W,175
YGL064C,176
YGR154C,177
YIL001W,178
YIL024C,179
YIL073C,180
YJL141C,181
YKL218C,182
YKR101W,183
YLL058W,184
YML037C,185
YMR018W,186
YOR077W,187
YCR006C,188
YDR332W,189
YDR421W,190
YGL176C,191
YGR205W,192
YHR067W,193
YHR218W,194
YIR032C,195
YJR159W,196
YNL210W,197
YER121W,198
YHR054C,199
YJR107W,200
YKR098C,201
YLR313C,202
YMR053C,203
YNL171C,204
YNL314W,205
YNL317W,206
YOL135C,207
YOR005C,208
YOR284W,209
YOR380W,210
YPR068C,211
YBL010C,212
YER038C,213
YFR007W,214
YGL045W,215
YGR288W,216
YHR157W,217
YJL218W,218
YLR349W,219
YMR084W,220
YNL223W,221
YOR178C,222
YOR333C,223
YPL272C,224
YBL029W,225
YBL111C,226
YDR131C,227
YDR320C,228
YDR358W,229
YDR425W,230
YDR488C,231
YGL174W,232
YIL071C,233
YKL048C,234
YKL071W,235
YKL208W,236
YLR121C,237
YMR016C,238
YMR156C,239
YOL141W,240
YOR113W,241
YAL061W,242
YCR027C,243
YDR446W,244
YDR495C,245
YER076C,246
YGL025C,247
YGL096W,248
YGL212W,249
YHL014C,250
YHR214W,251
YIL164C,252
YJL102W,253
YJR011C,254
YJR147W,255
YLL033W,256
YLR123C,257
YML068W,258
YOL113W,259
YOL114C,260
YPL113C,261
