ID,protein probability,mRNA(M)
YDR444W,0.96,0.15
YHR213W,0.0,0.16
YLR465C,0.0,0.16
YDR543C,0.0,0.18
YCR038C,0.0,0.19
YJL221C,0.99,0.19
YIL055C,0.71,0.2
YGL175C,0.0,0.21
YCR091W,0.0,0.22
YER096W,0.94,0.22
YFL058W,0.0,0.22
YGL075C,0.0,0.22
YJL083W,0.59,0.22
YJR153W,0.0,0.22
YOL157C,0.0,0.22
YEL075C,0.0,0.23
YER189W,0.0,0.23
YIL160C,0.0,0.23
YFL056C,0.0,0.24
YCL068C,0.0,0.25
YFL065C,0.0,0.25
YFR022W,0.0,0.25
YOL161C,0.0,0.25
YDR369C,1.0,0.26
YDR403W,0.95,0.26
YIL172C,0.0,0.26
YJR155W,0.0,0.26
YLR156W,0.0,0.26
YLR464W,0.0,0.26
YBL080C,0.88,0.27
YFL064C,0.0,0.27
YGR110W,0.0,0.27
YPR202W,0.0,0.27
YIR039C,0.0,0.28
YJL103C,0.0,0.28
YLR054C,0.0,0.28
YBR297W,0.0,0.29
YER158C,0.96,0.29
YER188W,0.0,0.29
YFR017C,0.0,0.29
YGR287C,0.0,0.29
YIL028W,0.0,0.29
YJR053W,0.86,0.29
YJR154W,0.35,0.29
YKL224C,0.0,0.29
YOR156C,0.0,0.29
YEL076C,0.37,0.3
YGR088W,0.0,0.3
YIR030C,0.0,0.3
YLR462W,0.0,0.3
YER101C,0.51,0.31
YHR105W,0.0,0.31
YBR239C,0.0,0.32
YDL021W,0.0,0.32
YHR212C,0.0,0.32
YIR025W,0.0,0.32
YLR161W,0.0,0.32
YER179W,0.0,0.33
YFR029W,0.0,0.33
YGR058W,0.0,0.33
YHR011W,0.68,0.33
YIR042C,0.0,0.33
YMR154C,0.37,0.33
YDR254W,0.0,0.34
YDR263C,0.0,0.34
YER040W,0.0,0.34
YFL060C,0.0,0.34
YGL081W,0.43,0.34
YHR171W,0.94,0.34
YIL082W,0.0,0.34
YNL093W,0.0,0.34
YOR237W,0.0,0.34
YAR035W,0.0,0.35
YGR153W,0.0,0.35
YKL055C,0.0,0.35
YBL103C,0.0,0.36
YBR233W,0.9,0.36
YGR239C,0.0,0.36
YKL098W,0.0,0.36
YLL056C,0.24,0.36
YNL325C,0.0,0.36
YOR003W,0.0,0.36
YPR001W,0.0,0.36
YBR138C,0.0,0.37
YDL017W,0.0,0.37
YER015W,0.0,0.37
YFR021W,0.3,0.37
YHR035W,0.0,0.37
YIL061C,0.0,0.37
YJR156C,0.0,0.37
YMR204C,0.0,0.37
YMR213W,0.63,0.37
YDR043C,0.0,0.38
YER018C,0.0,0.38
YER084W,0.0,0.38
YGL194C,0.0,0.38
YGR006W,0.0,0.38
YKR019C,0.88,0.38
YLR431C,0.0,0.38
YML050W,0.0,0.38
YOL067C,0.0,0.38
YAR060C,0.0,0.39
