gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,1,1,skipconcat,74,True,0.7163,0.012,141.0,1.8669,0.0565,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,1,skipconcat,74,True,0.7163,0.012,141.0,1.5825,0.5065,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,1,skipconcat,74,True,0.7163,0.012,141.0,1.0036,0.5532,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,1,skipsum,67,True,0.7127,0.0227,141.0,1.8091,0.1599,0.7893,0.0138,0.7782,0.0941,0.7753,0.1182,0.7626,0.0172,0.897,0.0127
0.0,1,1,1,skipsum,164,True,0.6397,0.0257,141.0,1.2455,0.4025,0.8122,0.0067,0.7776,0.0028,0.8051,0.0176,0.791,0.0094,0.8944,0.0054
0.0,1,1,1,skipsum,207,True,0.6155,0.0302,141.0,1.175,0.5995,0.8136,0.0072,0.7793,0.0046,0.8063,0.0151,0.7925,0.0094,0.8989,0.0043
0.0,1,1,1,stack,74,True,0.7163,0.012,141.0,0.3302,0.0065,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,1,stack,74,True,0.7163,0.012,141.0,0.3258,0.0012,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,1,stack,74,True,0.7163,0.012,141.0,1.658,0.1005,0.7756,0.012,0.727,0.0358,0.8012,0.0848,0.7578,0.0235,0.8692,0.0147
0.0,1,1,2,skipconcat,19,True,0.7345,0.0306,251.0,0.3298,0.0016,0.6764,0.0966,0.5876,0.4214,0.3322,0.2966,0.3953,0.3096,0.7771,0.1431
0.0,1,1,2,skipconcat,19,True,0.7288,0.0253,251.0,0.3352,0.0037,0.7498,0.0525,0.861,0.0757,0.5451,0.1928,0.6348,0.1456,0.8774,0.0014
0.0,1,1,2,skipconcat,19,True,0.7288,0.0253,251.0,0.3357,0.0029,0.7498,0.0525,0.861,0.0757,0.5451,0.1928,0.6348,0.1456,0.8774,0.0014
0.0,1,1,2,skipsum,39,True,0.7221,0.0196,251.0,0.3293,0.006,0.8084,0.0116,0.8563,0.0872,0.7082,0.1097,0.7627,0.028,0.9067,0.0015
0.0,1,1,2,skipsum,196,True,0.6267,0.0499,251.0,0.328,0.0016,0.8198,0.0165,0.7807,0.038,0.8286,0.0204,0.8029,0.0107,0.905,0.0021
0.0,1,1,2,skipsum,283,True,0.6036,0.0662,251.0,0.3262,0.0032,0.8261,0.0189,0.8065,0.0516,0.8071,0.0359,0.8044,0.0104,0.908,0.0035
0.0,1,1,2,stack,19,True,0.7288,0.0253,251.0,0.3283,0.0022,0.7498,0.0525,0.861,0.0757,0.5451,0.1928,0.6348,0.1456,0.8774,0.0014
0.0,1,1,2,stack,19,True,0.7288,0.0253,251.0,0.3269,0.0056,0.7498,0.0525,0.861,0.0757,0.5451,0.1928,0.6348,0.1456,0.8774,0.0014
0.0,1,1,2,stack,19,True,0.7345,0.0306,251.0,0.327,0.0018,0.6764,0.0966,0.5876,0.4214,0.3322,0.2966,0.3953,0.3096,0.7771,0.1431
0.0,1,2,1,skipconcat,19,True,0.6904,0.065,351.0,0.5289,0.0048,0.6717,0.1626,0.6351,0.137,0.8781,0.0863,0.7189,0.0751,0.8695,0.0054
0.0,1,2,1,skipconcat,19,True,0.7141,0.033,351.0,0.5269,0.005,0.6708,0.162,0.636,0.1378,0.873,0.0904,0.717,0.0737,0.8651,0.0043
0.0,1,2,1,skipconcat,19,True,0.6993,0.0528,351.0,0.5314,0.0059,0.6734,0.1639,0.6414,0.1422,0.8706,0.0925,0.7187,0.075,0.8607,0.0092
0.0,1,2,1,skipsum,60,True,0.7242,0.0241,251.0,0.5329,0.0072,0.7173,0.0867,0.8831,0.1022,0.4659,0.2868,0.5304,0.2684,0.8797,0.0172
0.0,1,2,1,skipsum,199,True,0.6808,0.05,251.0,0.5366,0.0076,0.723,0.0904,0.8169,0.1296,0.5835,0.3536,0.5685,0.2929,0.89,0.0068
0.0,1,2,1,skipsum,244,True,0.6596,0.0641,251.0,0.5427,0.0054,0.7261,0.0926,0.8212,0.1265,0.5839,0.354,0.5711,0.2948,0.8944,0.0051
0.0,1,2,1,stack,24,True,0.6978,0.0568,251.0,0.5332,0.0049,0.6606,0.096,0.5667,0.4146,0.3439,0.3687,0.3603,0.322,0.8599,0.0043
0.0,1,2,1,stack,24,True,0.6978,0.0568,251.0,0.532,0.0056,0.6606,0.096,0.5667,0.4146,0.3439,0.3687,0.3603,0.322,0.8599,0.0043
0.0,1,2,1,stack,24,True,0.741,0.0113,251.0,0.54,0.0029,0.6585,0.0932,0.5666,0.4146,0.3365,0.3584,0.3571,0.3179,0.8638,0.0036
0.0,1,2,2,skipconcat,21,True,0.7543,0.0003,461.0,0.5872,0.0695,0.7096,0.0599,0.7836,0.16,0.6341,0.3272,0.6031,0.2076,0.8742,0.0067
0.0,1,2,2,skipconcat,21,True,0.6624,0.0677,461.0,0.5326,0.0041,0.7978,0.0091,0.7592,0.0058,0.7941,0.0211,0.7762,0.0123,0.8723,0.0054
0.0,1,2,2,skipconcat,21,True,0.6624,0.0677,461.0,0.5405,0.0031,0.7978,0.0091,0.7592,0.0058,0.7941,0.0211,0.7762,0.0123,0.8723,0.0054
0.0,1,2,2,skipsum,18,True,0.7457,0.0255,361.0,0.5324,0.0033,0.6043,0.155,0.429,0.3451,0.5686,0.4196,0.4607,0.3319,0.8909,0.0145
