#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COX5A	COX6A1	9606.ENSP00000317780	9606.ENSP00000229379	0	0	0	0	0.835	0.966	0.888	0.958	0.999
COX5A	COX5B	9606.ENSP00000317780	9606.ENSP00000258424	0	0	0	0	0.978	0.995	0.959	0.987	0.999
COX5A	UQCRC2	9606.ENSP00000317780	9606.ENSP00000268379	0	0	0	0	0.923	0.988	0.953	0.732	0.999
COX5A	UQCRFS1	9606.ENSP00000317780	9606.ENSP00000306397	0	0	0	0	0.974	0.991	0.925	0.750	0.999
COX5A	CYC1	9606.ENSP00000317780	9606.ENSP00000317159	0	0	0	0	0.892	0.992	0.602	0.577	0.999
COX5A	MT-ATP6	9606.ENSP00000317780	9606.ENSP00000354632	0	0	0	0	0.111	0	0	0.424	0.466
COX5A	MT-ND1	9606.ENSP00000317780	9606.ENSP00000354687	0	0	0	0	0.128	0.830	0	0.427	0.907
COX5A	MT-CYB	9606.ENSP00000317780	9606.ENSP00000354554	0	0	0	0	0	0.957	0.540	0.474	0.988
COX5A	MT-CO3	9606.ENSP00000317780	9606.ENSP00000354982	0	0	0	0	0.083	0.991	0.979	0.574	0.999
COX5A	MT-CO1	9606.ENSP00000317780	9606.ENSP00000354499	0	0	0	0	0.109	0.990	0.967	0.830	0.999
COX5B	COX6A1	9606.ENSP00000258424	9606.ENSP00000229379	0	0	0	0	0.892	0.980	0.888	0.966	0.999
COX5B	MT-ND1	9606.ENSP00000258424	9606.ENSP00000354687	0	0	0	0	0.136	0.844	0	0.442	0.918
COX5B	MT-CYB	9606.ENSP00000258424	9606.ENSP00000354554	0	0	0	0	0	0.972	0.540	0.414	0.992
COX5B	MT-CO3	9606.ENSP00000258424	9606.ENSP00000354982	0	0	0	0	0.103	0.994	0.959	0.595	0.999
COX5B	UQCRFS1	9606.ENSP00000258424	9606.ENSP00000306397	0	0	0	0	0.970	0.991	0.715	0.664	0.999
COX5B	UQCRC2	9606.ENSP00000258424	9606.ENSP00000268379	0	0	0	0	0.776	0.990	0.786	0.664	0.999
COX5B	CYC1	9606.ENSP00000258424	9606.ENSP00000317159	0	0	0	0	0.927	0.991	0.634	0.549	0.999
COX5B	MT-CO1	9606.ENSP00000258424	9606.ENSP00000354499	0	0	0	0	0.167	0.993	0.935	0.781	0.999
COX5B	COX5A	9606.ENSP00000258424	9606.ENSP00000317780	0	0	0	0	0.978	0.995	0.959	0.987	0.999
COX6A1	MT-ATP6	9606.ENSP00000229379	9606.ENSP00000354632	0	0	0	0	0.070	0	0	0.490	0.505
