,accession,gene_symbol,pred_prob,raw_prob,soft_label
5984,P13591,NCAM1,0.22785797715187073,0.9476964052881504,0.6042656666985234
17250,Q15256,PTPRR,0.35248467326164246,0.9470375659971774,0.4083077393750645
6560,P0DJI8,SAA1,0.30594128370285034,0.9464816423297367,0.6795392928101615
4469,B7Z6K7,ZNF814,0.4158249497413635,0.9455307281278468,0.3252057918472725
15448,Q14028,CNGB1,0.23011629283428192,0.9441288529942752,0.6520656070957802
7978,O60248,SOX15,0.4186544716358185,0.9430988499632992,0.4772460395744202
6370,Q8TBC5,ZSCAN18,0.3778100311756134,0.9430631098122876,0.33739702320784
6755,Q6UXK2,ISLR2,0.23012766242027283,0.9402119955257644,0.6672986536748949
7701,Q13950,RUNX2,0.25070706009864807,0.9392663815567264,0.3248203838701244
15530,Q9BUN1,MENT,0.25372740626335144,0.939070235457793,0.3876345693672741
9536,Q9NR16,CD163L1,0.22531095147132874,0.939044347069812,0.5937314796243106
13793,Q8N9I0,SYT2,0.3199213445186615,0.9382930620007792,0.3225449701516084
10094,Q8N584,TTC39C,0.4833759665489197,0.9370508921631404,0.4463829614814198
10488,Q8IYR2,SMYD4,0.44055917859077454,0.936413617848418,0.5415016299148239
12822,Q9P2J8,ZNF624,0.2983865439891815,0.9318965516348054,0.6575629291823514
1101,Q86X40,LRRC28,0.24759462475776672,0.9312589606951068,0.4608802530247575
16039,Q9H6Q3,SLA2,0.290365070104599,0.9312558644635596,0.5628386939220801
12794,Q5W041,ARMC3,0.23012933135032654,0.92844038798797,0.4719249926526502
16775,P0DJI9,SAA2,0.2273518443107605,0.9277361374971216,0.6541744732595696
13052,P06729,CD2,0.45180854201316833,0.9262736142481552,0.5010560851106719
3125,Q6ZNE9,RUFY4,0.22939547896385193,0.924115399451417,0.5013124665704115
7966,P42262,GRIA2,0.23395374417304993,0.923710558264166,0.5459540191268362
14103,O75074,LRP3,0.2676863968372345,0.9211836982434832,0.3883518430000389
13319,O43903,GAS2,0.23528392612934113,0.920957394089548,0.538272419846565
1156,Q8NCY6,MSANTD4,0.46740493178367615,0.9198338003692064,0.3244556161931394
6258,Q7Z6J8,UBE3D,0.29893410205841064,0.91703130291391,0.334805620882607
1328,A2RU30,TESPA1,0.23908530175685883,0.916776039970294,0.4747942363256249
15468,Q9Y5R6,DMRT1,0.22099752724170685,0.916610367245151,0.3697871116697625
8006,Q7Z7G2,CPLX4,0.21741309762001038,0.916364260463578,0.3423456793105088
14849,P12544,GZMA,0.46709591150283813,0.9154324273402592,0.5230372316521585
17039,Q12913,PTPRJ,0.47974827885627747,0.9152203185119442,0.588908145691377
14343,Q9BXU9,CALN1,0.2156725972890854,0.914472088240152,0.3622482793210565
4774,Q9Y4F3,MARF1,0.2161267101764679,0.9133172929606492,0.5912160523893728
3046,P10916,MYL2,0.203791543841362,0.9126707689246436,0.4085558683045546
6061,Q15777,MPPED2,0.21388009190559387,0.910996945088115,0.3703029596074381
4830,P09630,HOXC6,0.4796123504638672,0.9082831835089096,0.4787476567235137
5538,Q9NUZ1,ACOXL,0.20744003355503082,0.9059651316667192,0.5599098991249282
18518,Q00889,PSG6,0.21442811191082,0.9026328738197816,0.3753299683825075
8205,O94805,ACTL6B,0.2087491750717163,0.901623973575662,0.6514627145222178
504,Q99715,COL12A1,0.21416433155536652,0.9000648632596792,0.5443893721965781
412,P24821,TNC,0.2221674621105194,0.8996591327736974,0.6147165059885005
4352,Q14590,ZNF235,0.30373942852020264,0.8989255268000959,0.5372934337886752
20182,Q9UMZ3,PTPRQ,0.2893778085708618,0.8986551656442482,0.4206970638498697
15790,Q9C0H9,SRCIN1,0.20928503572940826,0.8969534689153236,0.5528335664121974
14350,O43861,ATP9B,0.3877604603767395,0.8953680018507129,0.4640926850441688
16847,H3BQW9,FAM229A,0.49360907077789307,0.8935682561996716,0.3314168787258006
12169,A0A1B0GV96,CHD9NB,0.2854019105434418,0.8933397978802518,0.4112757633187009
18790,Q8IYE0,CCDC146,0.2609669864177704,0.8926268846141827,0.4001671079157219
17843,Q9NZ71,RTEL1,0.4959981143474579,0.8923943404887508,0.5023368793010681
17527,P18577,RHCE,0.20541980862617493,0.8922845622049792,0.3204605846151083
13246,Q96JP9,CDHR1,0.2086440771818161,0.8903681825072387,0.6019586066093385
10590,A0A024RBG1,NUDT4B,0.28376880288124084,0.8900315726311423,0.6674301451828588
1805,Q9UIM3,FKBPL,0.19769220054149628,0.8890945040268231,0.3475398747714939
11720,Q9UER7,DAXX,0.35058286786079407,0.8880479083909623,0.4513960300289532
17906,Q96QB1,DLC1,0.21021133661270142,0.8875374403474721,0.6899951122259739
7963,P10636,MAPT,0.20067134499549866,0.8862807733463252,0.3709686370288229
17020,Q9UBS5,GABBR1,0.20645172894001007,0.8853996863045078,0.4407303203632765
14421,Q9BXF9,TEKT3,0.20245811343193054,0.8841968334276549,0.6375504138833258
13626,Q7M4L6,SHF,0.25514429807662964,0.8807923865791653,0.6258911195655693
15419,Q9UQB3,CTNND2,0.2048051655292511,0.880193842318006,0.6092482080701761
9360,Q02952,AKAP12,0.33021584153175354,0.8791655139623354,0.5491772185855377
4993,Q9P2S2,NRXN2,0.2081703245639801,0.8788282916504007,0.4954852753213354
1157,P58743,SLC26A5,0.203023761510849,0.8783280021728211,0.5094321519111259
2592,O60477,BRINP1,0.20801548659801483,0.8781742862180922,0.5013413545677263
18664,P10415,BCL2,0.2396511286497116,0.8778100285952164,0.5957351273938707
20184,Q9UJD0,RIMS3,0.2836015522480011,0.8771857291548916,0.3350615494388062
14178,Q9BVQ7,AFG2B,0.35017022490501404,0.8758757822046656,0.5647121307315685
2879,Q5H9L2,TCEAL5,0.2031041979789734,0.8750243943300344,0.6226552651988096
5200,Q6IPX3,TCEAL6,0.27635547518730164,0.8750243943300344,0.5583349640244392
17794,P01743,IGHV1-46,0.2762092053890228,0.8747284710351494,0.35361775327954
9042,O75154,RAB11FIP3,0.30219995975494385,0.8743713062959608,0.3534952407199817
9896,Q9ULK0,GRID1,0.2037656158208847,0.873111158243492,0.5618617133698477
11993,Q9HBZ2,ARNT2,0.22252318263053894,0.8728951058433347,0.4461662758151767
9580,Q8NEG5,ZSWIM2,0.19829505681991577,0.8727291573004228,0.408366766686248
18647,Q9NZQ9,TMOD4,0.20183314383029938,0.8724144254077273,0.516115161460341
9768,Q96NE9,FRMD6,0.19584080576896667,0.8710704926811139,0.6362206383540183
8287,Q7Z4N2,TRPM1,0.19844678044319153,0.8708778871212705,0.6876796310732826
