Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Axon guidance	23/182	2.354748e-04	6.640390e-02	0	0	2.456757e+00	2.052352e+01	NTNG2;NRP1;EPHA7;SEMA4D;EPHA8;PDPK1;RYK;PTCH1;NFATC3;PIK3R3;PIK3R2;EFNA5;ENAH;MYL5;ABLIM1;ABLIM2;SLIT1;PAK6;SLIT2;EPHB2;EPHA1;SRGAP1;PLXNA4
KEGG_2021_Human	Inositol phosphate metabolism	10/73	7.515740e-03	7.671204e-01	0	0	2.678055e+00	1.309772e+01	INPP5B;FIG4;PI4K2B;SYNJ1;INPP5E;INPPL1;PLCE1;PIK3C2G;SYNJ2;PLCD4
KEGG_2021_Human	Phosphatidylinositol signaling system	12/97	8.160856e-03	7.671204e-01	0	0	2.383384e+00	1.146028e+01	INPP5B;PI4K2B;SYNJ1;INPP5E;INPPL1;PLCE1;PIK3R3;PIK3R2;PIK3C2G;SYNJ2;DGKZ;PLCD4
KEGG_2021_Human	Autophagy	14/137	2.222939e-02	9.999955e-01	0	0	1.921129e+00	7.312469e+00	RUBCN;PDPK1;EIF2AK3;PIK3R3;PIK3R2;WIPI1;AMBRA1;IGF1R;ATG16L2;ATG16L1;BCL2;ATG4C;PRKCQ;ATG4A
KEGG_2021_Human	ECM-receptor interaction	10/88	2.578854e-02	9.999955e-01	0	0	2.161320e+00	7.905731e+00	COL6A2;LAMA4;ITGA10;COL4A3;TNC;LAMC2;ITGB6;AGRN;HSPG2;THBS1
KEGG_2021_Human	Focal adhesion	18/201	3.484540e-02	9.999955e-01	0	0	1.660847e+00	5.575187e+00	PDPK1;LAMA4;TNC;PIK3R3;PIK3R2;LAMC2;THBS1;MYLK3;IGF1R;MYL5;ITGA10;COL6A2;COL4A3;ERBB2;BCL2;PAK6;ITGB6;PPP1R12C
KEGG_2021_Human	Parathyroid hormone synthesis, secretion and action	11/106	3.606587e-02	9.999955e-01	0	0	1.951998e+00	6.485336e+00	KL;MMP25;JUND;CREB3L4;MMP17;BCL2;PDE4B;PDE4A;GATA3;PLD1;MEF2D
KEGG_2021_Human	ABC transporters	6/45	3.907970e-02	9.999955e-01	0	0	2.589675e+00	8.396120e+00	ABCA10;ABCA5;ABCC8;ABCA3;ABCB5;ABCG4
KEGG_2021_Human	Rap1 signaling pathway	18/210	4.989767e-02	9.999955e-01	0	0	1.582232e+00	4.743186e+00	DOCK4;MAGI2;LPAR2;PIK3R3;ARAP3;PIK3R2;EFNA5;THBS1;GRIN1;IGF1R;ENAH;KITLG;PRKD3;ID1;PLCE1;RALGDS;RAPGEF6;RAPGEF3
KEGG_2021_Human	p53 signaling pathway	8/73	5.203270e-02	9.999955e-01	0	0	2.072585e+00	6.126317e+00	SESN3;APAF1;SERPINE1;BCL2;TNFRSF10B;ATM;MDM4;THBS1
KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	13/143	5.966364e-02	9.999955e-01	0	0	1.685701e+00	4.752047e+00	APC2;PCGF2;WNT7B;FZD6;PIK3R3;PIK3R2;BMI1;ACVR2A;IGF1R;ACVR1C;KAT6A;ID1;JAK2
KEGG_2021_Human	cAMP signaling pathway	18/216	6.219030e-02	9.999955e-01	0	0	1.533793e+00	4.260197e+00	RYR2;OXTR;GABBR1;PTCH1;PIK3R3;ARAP3;PIK3R2;PLD1;GRIN1;SLC9A1;ADCY10;CREB3L4;CAMK4;PDE4B;PLCE1;EP300;PDE4A;RAPGEF3
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	9/89	6.242035e-02	9.999955e-01	0	0	1.894657e+00	5.255521e+00	BATF2;IFNGR2;NFATC3;PIK3R3;PRKCQ;PIK3R2;JAK2;NFKBIE;RASGRP1
KEGG_2021_Human	B cell receptor signaling pathway	8/81	8.484177e-02	9.999955e-01	0	0	1.844667e+00	4.550733e+00	INPPL1;BTK;NFATC3;PIK3R3;PIK3R2;NFKBIE;MALT1;CD22
