gcnconv-drop,l_pre,l_mp,l_post,stage,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std
0.0,1,1,1,skipconcat,99,True,0.6646,0.0313,141.0,1.827,0.1094,0.7802,0.0164,0.7302,0.0267,0.7996,0.0067,0.7629,0.0119,0.8282,0.0235
0.0,1,1,1,skipconcat,199,True,0.6219,0.0215,141.0,1.1903,0.3918,0.7957,0.0023,0.757,0.0076,0.7921,0.0082,0.7741,0.0001,0.8492,0.0031
0.0,1,1,1,skipconcat,299,True,0.5929,0.0169,141.0,0.7746,0.5934,0.7987,0.0015,0.7628,0.006,0.7902,0.0071,0.7762,0.0004,0.8597,0.0117
0.0,1,1,1,skipsum,99,True,0.6843,0.0182,141.0,1.8092,0.0786,0.7968,0.0125,0.7711,0.0314,0.7741,0.0624,0.7699,0.0221,0.8878,0.0065
0.0,1,1,1,skipsum,199,True,0.6353,0.0202,141.0,1.1963,0.4457,0.8122,0.0064,0.7774,0.0027,0.8055,0.0163,0.7911,0.0089,0.8953,0.0045
0.0,1,1,1,skipsum,299,True,0.5977,0.0241,141.0,0.8603,0.5532,0.8158,0.0054,0.7773,0.0061,0.8173,0.0084,0.7968,0.0061,0.9002,0.0016
0.0,1,1,1,stack,99,True,0.6646,0.0313,141.0,1.6698,0.1833,0.7802,0.0164,0.7302,0.0267,0.7996,0.0067,0.7629,0.0119,0.8282,0.0235
0.0,1,1,1,stack,199,True,0.6219,0.0215,141.0,0.328,0.0031,0.7957,0.0023,0.757,0.0076,0.7921,0.0082,0.7741,0.0001,0.8492,0.0031
0.0,1,1,1,stack,299,True,0.5929,0.0169,141.0,0.3263,0.0009,0.7987,0.0015,0.7628,0.006,0.7902,0.0071,0.7762,0.0004,0.8597,0.0117
0.0,1,1,2,skipconcat,99,True,0.7001,0.0501,251.0,0.3323,0.0014,0.7167,0.1121,0.5041,0.3565,0.5298,0.3747,0.5166,0.3653,0.7636,0.1336
0.0,1,1,2,skipconcat,199,True,0.6421,0.0259,251.0,0.3352,0.0018,0.7919,0.0069,0.7432,0.0202,0.811,0.0234,0.775,0.001,0.8507,0.0175
