graphsage-batch_size,l_pre,l_mp,l_post,stage,drop,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std
128,1,1,1,skipconcat,0.0,99,True,0.5477,0.0265,241.0,5.4013,0.174,0.7905,0.0034,0.8698,0.0267,0.7272,0.024,0.8668,0.0365,0.7914,0.0027,0.8383,0.0049
128,1,1,1,skipconcat,0.0,149,True,0.55,0.0401,241.0,5.4846,0.0681,0.7836,0.0048,0.8438,0.0364,0.7456,0.0335,0.8295,0.0508,0.7901,0.0042,0.8407,0.002
128,1,1,1,skipconcat,0.0,199,True,0.5219,0.0106,241.0,5.568,0.0601,0.7877,0.0061,0.8623,0.0305,0.7317,0.0265,0.8552,0.0449,0.7906,0.0024,0.8377,0.0076
128,1,1,1,skipconcat,0.3,99,True,0.5631,0.0216,241.0,6.1906,0.0472,0.7663,0.009,0.8428,0.0317,0.7075,0.0215,0.8375,0.0441,0.7684,0.0036,0.8093,0.0097
128,1,1,1,skipconcat,0.3,149,True,0.563,0.0282,241.0,6.2304,0.2074,0.762,0.0174,0.8267,0.051,0.722,0.0344,0.8101,0.079,0.7685,0.0052,0.8111,0.0133
128,1,1,1,skipconcat,0.3,199,True,0.55,0.015,241.0,6.3318,0.1331,0.7697,0.0084,0.8434,0.0349,0.715,0.0295,0.8359,0.051,0.7726,0.0052,0.8171,0.0069
128,1,1,1,skipconcat,0.6,99,True,0.6385,0.0394,241.0,6.2299,0.142,0.7061,0.0268,0.7228,0.0571,0.7704,0.0477,0.6281,0.1162,0.7422,0.0066,0.7491,0.041
128,1,1,1,skipconcat,0.6,149,True,0.6465,0.0316,241.0,5.846,0.1622,0.6915,0.0203,0.7079,0.0459,0.7559,0.0484,0.6137,0.1023,0.7282,0.0032,0.7425,0.0358
128,1,1,1,skipconcat,0.6,199,True,0.6521,0.0262,241.0,6.3145,0.1091,0.6809,0.0219,0.6932,0.0287,0.7522,0.0193,0.5947,0.0564,0.7209,0.0143,0.7371,0.0309
128,1,1,1,skipsum,0.0,99,True,0.5153,0.0017,241.0,5.5304,0.2641,0.7851,0.0031,0.8398,0.0137,0.7504,0.0115,0.8269,0.0197,0.7924,0.0017,0.8424,0.0026
