graphsage-batch_size,l_pre,l_mp,l_post,stage,drop,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std
128,1,1,1,skipconcat,0.0,0,True,0.68,0.1187,241.0,5.4822,0.1244,0.6057,0.1417,0.4823,0.3652,0.568,0.4164,0.6505,0.4158,0.5031,0.357,0.8119,0.0294
128,1,1,1,skipconcat,0.0,0,True,0.68,0.1187,241.0,5.1087,0.2351,0.6057,0.1417,0.4823,0.3652,0.568,0.4164,0.6505,0.4158,0.5031,0.357,0.8119,0.0294
128,1,1,1,skipconcat,0.0,0,True,0.6826,0.1151,241.0,5.3226,0.2514,0.6052,0.1411,0.4817,0.3645,0.5677,0.4163,0.6499,0.4155,0.5026,0.3566,0.8099,0.0269
128,1,1,1,skipconcat,0.3,0,True,0.6986,0.1031,241.0,6.0556,0.0341,0.6116,0.1167,0.6698,0.1358,0.5931,0.1775,0.6337,0.2049,0.6168,0.1421,0.6539,0.1139
128,1,1,1,skipconcat,0.3,0,True,0.7008,0.1001,241.0,6.0845,0.1477,0.6098,0.1144,0.6659,0.1302,0.5949,0.1785,0.628,0.1986,0.6164,0.1416,0.6521,0.1113
128,1,1,1,skipconcat,0.3,0,True,0.6986,0.1031,241.0,6.1808,0.0739,0.6116,0.1167,0.6698,0.1358,0.5931,0.1775,0.6337,0.2049,0.6168,0.1421,0.6539,0.1139
128,1,1,1,skipconcat,0.6,0,True,0.7391,0.0527,241.0,6.141,0.0581,0.5721,0.0679,0.5985,0.0556,0.6743,0.0588,0.4478,0.0852,0.6339,0.0564,0.5931,0.0996
128,1,1,1,skipconcat,0.6,0,True,0.7391,0.0527,241.0,6.1334,0.1784,0.5721,0.0679,0.5985,0.0556,0.6743,0.0588,0.4478,0.0852,0.6339,0.0564,0.5931,0.0996
128,1,1,1,skipconcat,0.6,0,True,0.7391,0.0527,241.0,6.2719,0.2334,0.5721,0.0679,0.5985,0.0556,0.6743,0.0588,0.4478,0.0852,0.6339,0.0564,0.5931,0.0996
128,1,1,1,skipsum,0.0,59,True,0.6824,0.1082,241.0,5.3453,0.0577,0.7213,0.084,0.7517,0.1175,0.8102,0.0876,0.614,0.2912,0.766,0.0326,0.7971,0.0442
128,1,1,1,skipsum,0.0,59,True,0.6824,0.1082,241.0,5.498,0.347,0.7213,0.084,0.7517,0.1175,0.8102,0.0876,0.614,0.2912,0.766,0.0326,0.7971,0.0442
128,1,1,1,skipsum,0.0,59,True,0.6824,0.1082,241.0,5.5344,0.4656,0.7213,0.084,0.7517,0.1175,0.8102,0.0876,0.614,0.2912,0.766,0.0326,0.7971,0.0442
128,1,1,1,skipsum,0.3,15,True,0.746,0.0338,241.0,6.115,0.1186,0.6101,0.0467,0.6375,0.0634,0.7103,0.1376,0.4903,0.1735,0.6616,0.0513,0.6615,0.0864
128,1,1,1,skipsum,0.3,126,True,0.6944,0.106,241.0,6.0569,0.1943,0.6577,0.0956,0.7125,0.1077,0.6551,0.0619,0.6611,0.1702,0.6797,0.0759,0.6861,0.1136
128,1,1,1,skipsum,0.3,126,True,0.6944,0.106,241.0,6.2826,0.1368,0.6577,0.0956,0.7125,0.1077,0.6551,0.0619,0.6611,0.1702,0.6797,0.0759,0.6861,0.1136
128,1,1,1,skipsum,0.6,81,True,0.723,0.0797,241.0,5.9728,0.0827,0.6065,0.0967,0.6516,0.0882,0.6047,0.1047,0.6089,0.1079,0.626,0.0944,0.6305,0.1114
128,1,1,1,skipsum,0.6,81,True,0.723,0.0797,241.0,6.1136,0.2656,0.6065,0.0967,0.6516,0.0882,0.6047,0.1047,0.6089,0.1079,0.626,0.0944,0.6305,0.1114
128,1,1,1,skipsum,0.6,81,True,0.723,0.0797,241.0,6.0563,0.073,0.6065,0.0967,0.6516,0.0882,0.6047,0.1047,0.6089,0.1079,0.626,0.0944,0.6305,0.1114
128,1,1,1,stack,0.0,0,True,0.68,0.1187,241.0,5.5219,0.19,0.6057,0.1417,0.4823,0.3652,0.568,0.4164,0.6505,0.4158,0.5031,0.357,0.8119,0.0294
128,1,1,1,stack,0.0,0,True,0.6826,0.1151,241.0,5.511,0.0865,0.6052,0.1411,0.4817,0.3645,0.5677,0.4163,0.6499,0.4155,0.5026,0.3566,0.8099,0.0269
128,1,1,1,stack,0.3,0,True,0.6986,0.1031,241.0,6.1165,0.0992,0.6116,0.1167,0.6698,0.1358,0.5931,0.1775,0.6337,0.2049,0.6168,0.1421,0.6539,0.1139
128,1,1,1,stack,0.3,0,True,0.7008,0.1001,241.0,5.9132,0.1019,0.6098,0.1144,0.6659,0.1302,0.5949,0.1785,0.628,0.1986,0.6164,0.1416,0.6521,0.1113
128,1,1,1,stack,0.6,0,True,0.7391,0.0527,241.0,6.2147,0.365,0.5721,0.0679,0.5985,0.0556,0.6743,0.0588,0.4478,0.0852,0.6339,0.0564,0.5931,0.0996
128,1,1,1,stack,0.6,0,True,0.7391,0.0527,241.0,5.4241,0.6066,0.5721,0.0679,0.5985,0.0556,0.6743,0.0588,0.4478,0.0852,0.6339,0.0564,0.5931,0.0996
128,1,1,2,skipconcat,0.0,0,True,0.614,0.1069,351.0,4.7105,0.6308,0.7099,0.1139,0.7646,0.1526,0.8142,0.1314,0.5823,0.4117,0.7627,0.0382,0.8222,0.0224
128,1,1,2,skipconcat,0.6,0,True,0.6852,0.0707,351.0,3.8818,0.2672,0.6442,0.085,0.6787,0.093,0.7177,0.0536,0.5548,0.2114,0.6917,0.0474,0.6736,0.1122
128,1,1,2,skipsum,0.0,0,True,0.6087,0.1101,351.0,3.7029,0.4,0.7107,0.1145,0.7763,0.1609,0.8057,0.1374,0.5954,0.421,0.7622,0.0378,0.8119,0.0397
128,1,1,2,skipsum,0.0,0,True,0.6087,0.1101,351.0,3.7956,0.3735,0.7107,0.1145,0.7763,0.1609,0.8057,0.1374,0.5954,0.421,0.7622,0.0378,0.8119,0.0397
128,1,1,2,skipsum,0.3,0,True,0.6224,0.1028,351.0,4.0157,0.1679,0.7089,0.1087,0.7677,0.1504,0.793,0.1161,0.6063,0.3816,0.757,0.0386,0.7625,0.0868
128,1,1,2,skipsum,0.3,0,True,0.6114,0.1096,351.0,4.0269,0.1379,0.7049,0.1058,0.765,0.1487,0.7882,0.1194,0.6036,0.3798,0.7529,0.0357,0.7643,0.0877
128,1,1,2,skipsum,0.6,0,True,0.6502,0.0862,351.0,3.8709,0.0144,0.6854,0.0927,0.719,0.1108,0.7686,0.0569,0.5843,0.2676,0.7334,0.0427,0.7201,0.1049
128,1,1,2,stack,0.0,0,True,0.614,0.1069,351.0,2.8931,0.4054,0.7099,0.1139,0.7646,0.1526,0.8142,0.1314,0.5823,0.4117,0.7627,0.0382,0.8222,0.0224
128,1,1,2,stack,0.3,0,True,0.6327,0.1016,351.0,1.3104,0.0981,0.6885,0.1086,0.7671,0.1529,0.7244,0.089,0.6449,0.3395,0.7257,0.0472,0.7201,0.1216
128,1,1,2,stack,0.6,0,True,0.6709,0.0798,351.0,1.4769,0.2041,0.645,0.0862,0.6649,0.0824,0.745,0.0081,0.5236,0.1845,0.7002,0.0505,0.6858,0.1199
128,1,2,1,skipsum,0.6,95,True,0.5965,0.0256,451.0,0.7634,0.044,0.7489,0.0179,0.764,0.046,0.705,0.0344,0.79,0.0663,0.7312,0.0053,0.795,0.0157
