graphsage-batch_size,l_pre,l_mp,l_post,stage,drop,epoch,ckpt_clean,loss,loss_std,params,time_iter,time_iter_std,accuracy,accuracy_std,precision,precision_std,recall,recall_std,specificity,specificity_std,f1,f1_std,auc,auc_std
64,1,1,1,skipconcat,0.0,56,True,0.5159,0.0034,241.0,0.3758,0.0055,0.7905,0.002,0.8676,0.0242,0.7452,0.0228,0.8497,0.0344,0.8011,0.0033,0.8471,0.0016
64,1,1,1,skipconcat,0.0,56,True,0.5159,0.0034,241.0,0.3737,0.007,0.7905,0.002,0.8676,0.0242,0.7452,0.0228,0.8497,0.0344,0.8011,0.0033,0.8471,0.0016
64,1,1,1,skipconcat,0.0,263,True,0.5036,0.0023,241.0,0.3885,0.0083,0.789,0.0018,0.87,0.0196,0.74,0.0176,0.8536,0.0277,0.7993,0.0022,0.8476,0.0014
64,1,1,1,skipconcat,0.3,97,True,0.5332,0.007,241.0,0.3917,0.0028,0.7755,0.0069,0.8652,0.0043,0.7167,0.0095,0.8529,0.004,0.784,0.0072,0.8273,0.0064
64,1,1,1,skipconcat,0.3,190,True,0.5283,0.0052,241.0,0.389,0.0036,0.7799,0.0067,0.8618,0.0139,0.7294,0.0177,0.8462,0.0198,0.7898,0.0078,0.8323,0.004
64,1,1,1,skipconcat,0.3,248,True,0.5248,0.0047,241.0,0.384,0.0059,0.7803,0.0047,0.8712,0.0061,0.7199,0.0138,0.8598,0.0097,0.7883,0.0064,0.8347,0.0019
64,1,1,1,skipconcat,0.6,47,True,0.6462,0.0258,241.0,0.3725,0.0084,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,1,skipconcat,0.6,47,True,0.6462,0.0258,241.0,0.3758,0.0021,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,1,skipconcat,0.6,47,True,0.6462,0.0258,241.0,0.3699,0.0051,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,1,skipsum,0.0,56,True,0.519,0.0151,241.0,0.3862,0.0149,0.7882,0.0023,0.8441,0.0146,0.7686,0.0158,0.8137,0.0241,0.8043,0.0023,0.8443,0.0028
64,1,1,1,skipsum,0.0,168,True,0.5047,0.0065,241.0,0.3793,0.0061,0.7912,0.0014,0.8815,0.0131,0.7314,0.0129,0.8699,0.0196,0.7992,0.0023,0.8466,0.0012
64,1,1,1,skipsum,0.0,238,True,0.5086,0.004,241.0,0.3879,0.0044,0.7905,0.0005,0.8785,0.0059,0.7313,0.0071,0.8678,0.0085,0.7981,0.0019,0.8474,0.0011
64,1,1,1,skipsum,0.3,60,True,0.5283,0.0093,241.0,0.3807,0.0076,0.7797,0.0072,0.8571,0.0176,0.734,0.0049,0.8396,0.0231,0.7906,0.0047,0.828,0.0033
64,1,1,1,skipsum,0.3,131,True,0.5218,0.0056,241.0,0.3893,0.0036,0.7841,0.0047,0.8692,0.0073,0.7302,0.0043,0.8551,0.0094,0.7936,0.004,0.8327,0.0026
64,1,1,1,skipsum,0.3,131,True,0.5218,0.0056,241.0,0.3953,0.0029,0.7841,0.0047,0.8692,0.0073,0.7302,0.0043,0.8551,0.0094,0.7936,0.004,0.8327,0.0026
64,1,1,1,skipsum,0.6,60,True,0.5808,0.0168,241.0,0.3808,0.0042,0.7428,0.0099,0.7997,0.0247,0.7303,0.0207,0.7591,0.0423,0.7629,0.0071,0.7965,0.01
64,1,1,1,skipsum,0.6,151,True,0.5843,0.0085,241.0,0.3896,0.0079,0.7474,0.0042,0.8067,0.0113,0.7284,0.015,0.7721,0.0209,0.7653,0.0045,0.7987,0.0041
64,1,1,1,skipsum,0.6,151,True,0.5843,0.0085,241.0,0.3844,0.013,0.7474,0.0042,0.8067,0.0113,0.7284,0.015,0.7721,0.0209,0.7653,0.0045,0.7987,0.0041
64,1,1,1,stack,0.0,56,True,0.5159,0.0034,241.0,0.3822,0.0043,0.7905,0.002,0.8676,0.0242,0.7452,0.0228,0.8497,0.0344,0.8011,0.0033,0.8471,0.0016
64,1,1,1,stack,0.0,56,True,0.5159,0.0034,241.0,0.3839,0.0087,0.7905,0.002,0.8676,0.0242,0.7452,0.0228,0.8497,0.0344,0.8011,0.0033,0.8471,0.0016
64,1,1,1,stack,0.0,263,True,0.5036,0.0023,241.0,0.3935,0.003,0.789,0.0018,0.87,0.0196,0.74,0.0176,0.8536,0.0277,0.7993,0.0022,0.8476,0.0014
64,1,1,1,stack,0.3,97,True,0.5332,0.007,241.0,0.4032,0.0032,0.7755,0.0069,0.8652,0.0043,0.7167,0.0095,0.8529,0.004,0.784,0.0072,0.8273,0.0064
64,1,1,1,stack,0.3,190,True,0.5283,0.0052,241.0,0.3937,0.0112,0.7799,0.0067,0.8618,0.0139,0.7294,0.0177,0.8462,0.0198,0.7898,0.0078,0.8323,0.004
64,1,1,1,stack,0.3,248,True,0.5248,0.0047,241.0,0.3839,0.0037,0.7803,0.0047,0.8712,0.0061,0.7199,0.0138,0.8598,0.0097,0.7883,0.0064,0.8347,0.0019
64,1,1,1,stack,0.6,47,True,0.6462,0.0258,241.0,0.3729,0.0069,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,1,stack,0.6,47,True,0.6462,0.0258,241.0,0.4256,0.0214,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,1,stack,0.6,47,True,0.6462,0.0258,241.0,0.3845,0.0181,0.6968,0.0112,0.6992,0.0128,0.8166,0.0156,0.5401,0.0332,0.7532,0.0085,0.7443,0.03
64,1,1,2,skipconcat,0.0,87,True,0.5105,0.0042,351.0,0.46,0.0082,0.7894,0.0031,0.8686,0.0171,0.7423,0.014,0.8513,0.0251,0.8002,0.0009,0.8465,0.0012
64,1,1,2,skipconcat,0.0,190,True,0.5034,0.0032,351.0,0.4295,0.0282,0.7906,0.0012,0.868,0.0053,0.744,0.0035,0.8517,0.0067,0.8012,0.0013,0.8469,0.0007
64,1,1,2,skipconcat,0.0,237,True,0.502,0.0029,351.0,0.4315,0.0238,0.7895,0.0023,0.8665,0.011,0.7444,0.0091,0.8489,0.0161,0.8007,0.0012,0.8475,0.0016
64,1,1,2,skipconcat,0.3,96,True,0.5353,0.0133,351.0,0.4598,0.0164,0.7782,0.0037,0.8677,0.0234,0.7201,0.0222,0.8542,0.0347,0.7864,0.0048,0.8239,0.0062
64,1,1,2,skipconcat,0.3,193,True,0.5219,0.0058,351.0,0.4009,0.002,0.7802,0.0045,0.8612,0.0207,0.7308,0.0176,0.8446,0.0319,0.7902,0.0026,0.8335,0.0027
64,1,1,2,skipconcat,0.3,293,True,0.5172,0.0036,351.0,0.3978,0.0146,0.7816,0.0057,0.8536,0.0199,0.7445,0.0154,0.8304,0.0319,0.7949,0.0026,0.8371,0.0014
64,1,1,2,skipconcat,0.6,98,True,0.6054,0.0116,351.0,0.4112,0.008,0.7236,0.0164,0.7549,0.0235,0.7591,0.0107,0.6775,0.0386,0.7568,0.0121,0.778,0.0112
64,1,1,2,skipconcat,0.6,184,True,0.5974,0.0052,351.0,0.3874,0.0036,0.7294,0.0136,0.7579,0.0188,0.7682,0.0044,0.6785,0.037,0.7629,0.0077,0.7826,0.0046
64,1,1,2,skipconcat,0.6,282,True,0.5942,0.006,351.0,0.4231,0.0458,0.7324,0.0213,0.7587,0.0251,0.776,0.0049,0.6752,0.0429,0.7671,0.0152,0.7844,0.006
64,1,1,2,skipsum,0.0,79,True,0.5098,0.003,351.0,0.4031,0.0174,0.7878,0.002,0.8626,0.0197,0.7452,0.019,0.8439,0.0278,0.7991,0.0033,0.846,0.0011
64,1,1,2,skipsum,0.0,190,True,0.5021,0.0019,351.0,0.44,0.0233,0.7902,0.0031,0.8696,0.0194,0.7422,0.0152,0.8532,0.0267,0.8005,0.0019,0.8472,0.001
64,1,1,2,skipsum,0.0,190,True,0.5021,0.0019,351.0,0.4496,0.0109,0.7902,0.0031,0.8696,0.0194,0.7422,0.0152,0.8532,0.0267,0.8005,0.0019,0.8472,0.001
64,1,1,2,skipsum,0.3,94,True,0.5386,0.0155,351.0,0.4254,0.0273,0.7792,0.0087,0.8565,0.0258,0.7345,0.0115,0.8379,0.0352,0.7904,0.0053,0.824,0.0111
64,1,1,2,skipsum,0.3,188,True,0.5284,0.0142,351.0,0.4564,0.0331,0.7855,0.003,0.8736,0.0054,0.7247,0.0036,0.8641,0.0082,0.7922,0.002,0.8306,0.0107
64,1,1,2,skipsum,0.3,206,True,0.5285,0.0136,351.0,0.4167,0.0222,0.784,0.0032,0.8711,0.0051,0.7264,0.0039,0.8595,0.006,0.7922,0.003,0.8315,0.0099
64,1,1,2,skipsum,0.6,25,True,0.5978,0.0157,351.0,0.4161,0.0347,0.7527,0.0038,0.8082,0.0134,0.7383,0.0125,0.7715,0.0231,0.7715,0.0021,0.7857,0.0154
64,1,1,2,skipsum,0.6,175,True,0.586,0.003,351.0,0.4167,0.0273,0.7577,0.0041,0.8151,0.0073,0.7408,0.01,0.7798,0.0137,0.7761,0.0041,0.7917,0.0017
64,1,1,2,skipsum,0.6,273,True,0.5823,0.0027,351.0,0.3922,0.0099,0.7635,0.0012,0.8189,0.0042,0.7478,0.0076,0.784,0.0089,0.7817,0.0024,0.7947,0.0049
64,1,1,2,stack,0.0,87,True,0.5105,0.0042,351.0,0.399,0.013,0.7894,0.0031,0.8686,0.0171,0.7423,0.014,0.8513,0.0251,0.8002,0.0009,0.8465,0.0012
64,1,1,2,stack,0.0,190,True,0.5034,0.0032,351.0,0.3995,0.0037,0.7906,0.0012,0.868,0.0053,0.744,0.0035,0.8517,0.0067,0.8012,0.0013,0.8469,0.0007
64,1,1,2,stack,0.0,237,True,0.502,0.0029,351.0,0.3837,0.0136,0.7895,0.0023,0.8665,0.011,0.7444,0.0091,0.8489,0.0161,0.8007,0.0012,0.8475,0.0016
64,1,1,2,stack,0.3,96,True,0.5353,0.0133,351.0,0.393,0.0051,0.7782,0.0037,0.8677,0.0234,0.7201,0.0222,0.8542,0.0347,0.7864,0.0048,0.8239,0.0062
64,1,1,2,stack,0.3,193,True,0.5219,0.0058,351.0,0.3905,0.0033,0.7802,0.0045,0.8612,0.0207,0.7308,0.0176,0.8446,0.0319,0.7902,0.0026,0.8335,0.0027
64,1,1,2,stack,0.3,293,True,0.5172,0.0036,351.0,0.394,0.0083,0.7816,0.0057,0.8536,0.0199,0.7445,0.0154,0.8304,0.0319,0.7949,0.0026,0.8371,0.0014
64,1,1,2,stack,0.6,98,True,0.6054,0.0116,351.0,0.3963,0.0029,0.7236,0.0164,0.7549,0.0235,0.7591,0.0107,0.6775,0.0386,0.7568,0.0121,0.778,0.0112
64,1,1,2,stack,0.6,184,True,0.5974,0.0052,351.0,0.3863,0.0027,0.7294,0.0136,0.7579,0.0188,0.7682,0.0044,0.6785,0.037,0.7629,0.0077,0.7826,0.0046
64,1,1,2,stack,0.6,282,True,0.5942,0.006,351.0,0.3949,0.0057,0.7324,0.0213,0.7587,0.0251,0.776,0.0049,0.6752,0.0429,0.7671,0.0152,0.7844,0.006
64,1,2,1,skipconcat,0.0,95,True,0.5147,0.002,651.0,0.5562,0.0149,0.7952,0.0002,0.8604,0.0079,0.7117,0.0097,0.881,0.0096,0.7789,0.0026,0.8488,0.0007
64,1,2,1,skipconcat,0.0,192,True,0.5096,0.0018,651.0,0.5577,0.0248,0.7956,0.0011,0.856,0.0041,0.7172,0.0046,0.8761,0.0047,0.7804,0.0017,0.8509,0.0011
64,1,2,1,skipconcat,0.0,226,True,0.5072,0.0015,651.0,0.5596,0.0214,0.7951,0.0016,0.8493,0.0037,0.7242,0.001,0.868,0.0039,0.7818,0.0011,0.8521,0.0006
64,1,2,1,skipconcat,0.3,95,True,0.5385,0.0048,651.0,0.5687,0.0163,0.7826,0.0029,0.8478,0.0186,0.6965,0.017,0.8708,0.0218,0.7644,0.0032,0.832,0.0032
64,1,2,1,skipconcat,0.3,193,True,0.5344,0.004,651.0,0.5296,0.0204,0.7847,0.0009,0.8436,0.0102,0.7079,0.0118,0.864,0.0125,0.7697,0.0029,0.8345,0.0028
64,1,2,1,skipconcat,0.3,288,True,0.5321,0.0016,651.0,0.5357,0.0237,0.7848,0.0029,0.8382,0.0148,0.7136,0.0133,0.8578,0.0185,0.7706,0.0021,0.8365,0.0009
64,1,2,1,skipconcat,0.6,56,True,0.616,0.0118,651.0,0.526,0.0145,0.7344,0.0129,0.7458,0.0293,0.7257,0.0248,0.7434,0.0468,0.7347,0.007,0.7816,0.0047
