,protein.Accession,gene_symbol,pred_prob,protein_probability,soft_label,hard_label,mRNA_TPM,degree
0,P0C5Y9,H2AB1,0.13964170217514038,0.0,0.098112802,0.0,0.0,8.159871336778389
1,A6QL64,ANKRD36,0.20893844962120056,0.288469437,0.730531393,1.0,1.253974923,0.0
2,Q8IZV2,CMTM8,0.1382339894771576,0.0,0.247712072,0.0,0.646884961,3.807354922057604
4,Q96N53,PRDM10-DT,0.13091614842414856,0.0,0.031669467,0.0,1.51687666,0.0
5,Q96BM0,IFI27L1,0.6196052432060242,0.944118141,0.279038868,0.0,0.0,0.0
6,B7Z1M9,C2CD4D,0.1347048431634903,0.0,0.207817577,0.0,2.724230869,2.807354922057604
7,Q9NWZ8,GEMIN8,0.24868671596050262,0.0,0.291456963,0.0,2.691166566,6.303780748177103
9,Q8NEJ0,DUSP18,0.3248395323753357,0.0,0.214547354,0.0,3.330515399,3.169925001442312
11,P04080,CSTB,0.9355491399765015,0.99991863,0.999985715,1.0,6.890789655,5.523561956057013
12,Q13606,OR5I1,0.18335255980491638,0.0,0.076598718,0.0,0.0,4.321928094887363
13,Q9UHM6,OPN4,0.16859568655490875,0.0,0.145079328,0.0,0.0,6.20945336562895
14,O60216,RAD21,0.31477171182632446,0.137565612,0.987095484,1.0,4.376278686,8.280770770130603
15,O00203,AP3B1,0.7495468854904175,0.99485209,0.999796456,1.0,1.123589109,7.294620748891627
16,P68431,H3C1; H3C2; H3C3; H3C4; H3C6; H3C7; H3C8; H3C10; H3C11; H3C12,0.6403850317001343,0.999999124,0.999997602,1.0,0.0,9.820178962415188
19,P18146,EGR1,0.15161506831645966,0.0,0.15601284,0.0,7.606992964,8.379378367071261
20,Q8NFH3,NUP43,0.7955342531204224,0.931233863,0.818863471,1.0,2.733238694,7.499845887083206
21,Q03052,POU3F1,0.26264384388923645,0.705113184,0.249074476,0.0,0.810151856,5.491853096329675
23,P23396,RPS3,0.9384260177612305,0.999999909,0.999999988,1.0,6.11138763,9.554588851677638
24,Q9P0L2,MARK1,0.3939407765865326,0.240640336,0.798723416,1.0,0.0,5.087462841250339
26,O94804,STK10,0.9389175772666931,0.999003177,0.868155732,1.0,2.515953386,5.491853096329675
27,O95922,TTLL1,0.15009818971157074,0.0,0.296731238,0.0,0.363323022,5.087462841250339
29,Q17R55,FAM187B,0.15203313529491425,0.0,0.165279251,0.0,0.0,4.459431618637297
31,Q8N0Y7,PGAM4,0.9384064674377441,0.999999605,0.999996906,1.0,0.181604143,6.285402218862249
32,Q96ND0,FAM210A,0.7596147060394287,0.99970686,0.731634141,1.0,1.971031119,3.584962500721156
36,Q96BF3,TMIGD2,0.2594953179359436,0.0,0.151161937,0.0,0.465819836,6.930737337562887
38,Q53GI3,ZNF394,0.13091614842414856,0.0,0.228029157,0.0,3.246891018,0.0
39,O95292,VAPB,0.8813294172286987,0.999882883,0.907294148,1.0,2.249228521,7.434628227636725
41,O43761,SYNGR3,0.16135647892951965,0.0,0.276136392,0.0,1.364878074,4.643856189774724
43,Q8IUQ4,SIAH1,0.1795245110988617,0.0,0.084964354,0.0,2.29423132,6.768184324776926
44,Q8IUC6,TICAM1,0.23996496200561523,0.497454874,0.174707861,0.0,2.868136149,7.321928094887363
47,P10144,GZMB,0.20865896344184875,0.277178519,0.193411739,0.0,3.310398488,8.640244936222345
48,Q9NR11,ZNF302,0.13091614842414856,0.0,0.207016308,0.0,3.725171018,0.0
49,P80162,CXCL6,0.13558749854564667,0.0,0.033031126,0.0,1.063006594,6.741466986401147
50,Q5TKA1,LIN9,0.21461376547813416,0.600404185,0.281380234,0.0,1.050339643,5.754887502163468
52,Q9Y2G7,ZFP30,0.18963269889354706,0.413446536,0.227479812,0.0,0.44236465,3.169925001442312
