,accession,gene_symbol,pred_prob,raw_prob,soft_label,hard_label,mRNA
0,P20591,MX1,0.9647600650787354,0.999998474,0.976418284,1.0,2.202093772
1,Q56P42,PYDC2,0.10965562611818314,0.0,0.0,0.0,2.201170241
2,P17707,AMD1,0.38288527727127075,0.489615266,0.634230275,,3.845316313
3,Q9Y6W6,DUSP10,0.4158245325088501,0.184613489,0.15931302,0.0,2.378902041
4,A0A1W2PPE2,TAF11L4,0.10965562611818314,0.0,0.220458707,0.0,0.0
5,P29275,ADORA2B,0.14524027705192566,0.363119134,0.0,0.0,1.502640489
6,Q5T7V8,GORAB,0.29779618978500366,0.0,0.384426108,,2.394370378
7,Q6UXG2,ELAPOR1,0.0644598975777626,0.0,0.575836665,,2.341126021
8,Q9H4K7,MTG2,0.2793547809123993,0.270554845,0.504170961,,3.371857198
9,Q8N7Q3,ZNF676,0.25982218980789185,0.176602667,0.087680145,0.0,0.0
10,Q6UW49,SPESP1,0.15605150163173676,0.407767632,0.318376427,,0.670243045
11,Q8IV36,HID1,0.4212897717952728,0.0,0.799521743,1.0,4.503540541
12,Q641Q3,METRNL,0.056077852845191956,0.0,0.254852558,0.0,0.691822817
13,Q969Z0,TBRG4,0.5054526329040527,0.460582814,0.999980905,1.0,5.226928801
14,Q49AH0,CDNF,0.05390002951025963,0.0,0.270302574,0.0,0.431397384
15,Q969K3,RNF34,0.35791197419166565,0.0,0.429925212,,2.810418603
16,Q9H6R6,ZDHHC6,0.1126333549618721,0.0,0.49433323,,3.410604162
17,Q9UBP4,DKK3,0.3894140422344208,0.502739092,0.218990525,0.0,0.627466989
18,Q13401,PMS2P3,0.7705660462379456,0.911549992,0.284982679,0.0,3.712367806
19,Q08AG5,ZNF844,0.05391748994588852,0.0,0.260043791,0.0,0.866525911
20,Q15782,CHI3L2,0.15790390968322754,0.0,0.560216705,,0.146395358
21,P10645,CHGA,0.0959736779332161,0.0,0.508840841,,0.0
22,P59540,TAS2R46,0.08243100345134735,0.0,0.220713639,0.0,0.0
23,Q7LBE3,SLC26A9,0.11949218809604645,0.131234284,0.174540326,0.0,3.627791066
24,P52306,RAP1GDS1,0.7753345966339111,0.998219746,0.813406954,1.0,0.997148778
25,Q9UPW8,UNC13A,0.14067071676254272,0.0,0.505106025,,0.059999683
