protein_id,integer_id
A0A024RBG1,0
A0A075B6H7,1
A0A075B6H8,2
A0A075B6L6,3
A0A075B6N1,4
A0A075B6N2,5
A0A075B6N3,6
A0A075B6R0,7
A0A075B6S4,8
A0A075B759,9
A0A087WSY6,10
A0A087WUL8,11
A0A087WUV0,12
A0A087X0M5,13
A0A087X1C5,14
A0A096LP49,15
A0A096LP55,16
A0A096LPI5,17
A0A0A0MS06,18
A0A0A0MS15,19
A0A0A0MT36,20
A0A0A6YYL3,21
A0A0B4J1V1,22
A0A0B4J1V2,23
A0A0B4J1X5,24
A0A0B4J1X8,25
A0A0B4J268,26
A0A0B4J2D5,27
A0A0C4DH24,28
A0A0C4DH31,29
A0A0C4DH32,30
A0A0C4DH33,31
A0A0C4DH38,32
A0A0C4DH42,33
A0A0C4DH55,34
A0A0G2JMD5,35
A0A0G2JMI3,36
A0A0J9YVY3,37
A0A0J9YWL9,38
A0A0J9YX94,39
A0A0J9YXV3,40
A0A0J9YXX1,41
A0A0U1RQS6,42
A0A0U1RRI6,43
A0A1B0GTU1,44
A0A1B0GTY4,45
A0A1B0GU33,46
A0A1B0GUA5,47
A0A1B0GUS4,48
A0A1B0GUU1,49
A0A1B0GUV1,50
A0A1B0GUW6,51
A0A1B0GV03,52
A0A1B0GV85,53
A0A1B0GV96,54
A0A1B0GVG6,55
A0A1B0GVH4,56
A0A1B0GVH6,57
A0A1B0GVH7,58
A0A1B0GVM6,59
A0A1B0GVN3,60
A0A1B0GVZ2,61
A0A1B0GW35,62
A0A1B0GXF2,63
A0A1W2PPH5,64
A0A1W2PPK0,65
A0A1W2PPM1,66
A0A1W2PPW3,67
A0A1W2PQ09,68
A0A1W2PQ72,69
A0A1W2PQL4,70
A0A1W2PR95,71
A0A1W2PRP0,72
A0A286YF18,73
A0A2R8Y2Y2,74
A0A2R8Y4L2,75
A0A2R8Y619,76
A0A2R8YFL7,77
A0A494C071,78
A0A494C086,79
A0A494C0N9,80
A0A494C0Y3,81
A0A494C0Z2,82
A0A494C191,83
A0A494C1R9,84
A0A539,85
A0A578,86
A0A590UK83,87
A0A8I5KQE6,88
A0AUZ9,89
A0AV02,90
A0AVF1,91
A0AVI2,92
A0AVT1,93
A0FGR8,94
A0FGR9,95
A0JNW5,96
A0JP26,97
A0M8Q6,98
A0MZ66,99
A0PG75,100
A0PJX0,101
A1A4G5,102
A1A4S6,103
A1A4V9,104
A1A519,105
A1A5C7,106
A1A5D9,107
A1IGU5,108
A1KZ92,109
A1L020,110
A1L162,111
A1L188,112
A1L390,113
A1L443,114
A1L453,115
A1L4H1,116
A1L4K1,117
A1X283,118
A1YPR0,119
A2A2Z9,120
A2A3K4,121
A2A3L6,122
A2A3N6,123
A2AJT9,124
A2CJ06,125
A2PYH4,126
A2RRH5,127
A2RRP1,128
A2RTX5,129
A2RTY3,130
A2RU30,131
A2RU48,132
A2RU49,133
A2RU54,134
A2RUB1,135
A2RUC4,136
A2RUH7,137
A2RUR9,138
A2RUS2,139
A2RUT3,140
A2VCK2,141
A2VDJ0,142
A2VEC9,143
A3KMH1,144
A3KN83,145
A3QJZ6,146
A4D0S4,147
A4D0V7,148
A4D126,149
A4D1B5,150
A4D1E1,151
A4D1F6,152
A4D1P6,153
A4D1T9,154
A4D1U4,155
A4D256,156
A4D263,157
A4D2H0,158
A4D2P6,159
A4FU01,160
A4FU28,161
A4FU49,162
A4FU69,163
A4GXA9,164
A4UGR9,165
A5A3E0,166
A5D8V7,167
A5D8W1,168
A5PKW4,169
A5PL33,170
A5PLK6,171
A5PLN7,172
A5PLN9,173
A5YKK6,174
A5YM69,175
A5YM72,176
A6H8Y1,177
A6NC57,178
A6NC78,179
A6NC98,180
A6NCI4,181
A6NCM1,182
A6NCN2,183
A6NCQ9,184
A6NCS6,185
A6NCW7,186
A6ND36,187
A6ND91,188
A6NDB9,189
A6NDE4,190
A6NDG6,191
A6NDH6,192
A6NDK9,193
A6NDN3,194
A6NDY0,195
A6NDY2,196
A6NE01,197
A6NE52,198
A6NEC2,199
A6NED2,200
A6NEK1,201
A6NEQ0,202
A6NES4,203
A6NEV1,204
A6NF34,205
A6NFA0,206
A6NFA1,207
A6NFE2,208
A6NFF2,209
A6NFI3,210
A6NFN9,211
A6NFQ2,212
A6NFQ7,213
A6NFY4,214
A6NGB0,215
A6NGB9,216
A6NGD5,217
A6NGE4,218
A6NGG8,219
A6NGU5,220
A6NGU7,221
A6NGW2,222
A6NH11,223
A6NH52,224
A6NHC0,225
A6NHG4,226
A6NHG9,227
A6NHL2,228
A6NHN6,229
A6NHQ2,230
A6NHR9,231
A6NHT5,232
A6NHY2,233
A6NI47,234
A6NI56,235
A6NI61,236
A6NI72,237
A6NIE6,238
A6NIJ5,239
A6NIK2,240
A6NIU2,241
A6NIZ1,242
A6NJB7,243
A6NJG2,244
A6NJI9,245
A6NJJ6,246
A6NJL1,247
A6NJQ4,248
A6NJR5,249
A6NJZ3,250
A6NJZ7,251
A6NK02,252
A6NK06,253
A6NK58,254
A6NK59,255
A6NK89,256
A6NKB5,257
A6NKC0,258
A6NKD9,259
A6NKF2,260
A6NKG5,261
A6NKH3,262
A6NKK0,263
A6NKP2,264
A6NKT7,265
A6NKU9,266
A6NL88,267
A6NLC8,268
A6NLU5,269
A6NM11,270
A6NM62,271
A6NM76,272
A6NMB9,273
A6NMD2,274
A6NMK7,275
A6NMK8,276
A6NMS7,277
A6NMT0,278
A6NMU1,279
A6NMX2,280
A6NMY6,281
A6NMZ7,282
A6NN06,283
A6NN14,284
A6NN73,285
A6NN90,286
A6NNH2,287
A6NNJ1,288
A6NNL0,289
A6NNM3,290
A6NNM8,291
A6NNS2,292
A6NNV3,293
A6NNW6,294
A6NNY8,295
A6NNZ2,296
A6PVC2,297
A6PVI3,298
A6PVS8,299
A6QL63,300
A6QL64,301
A7E2F4,302
A7E2V4,303
A7E2Y1,304
A7KAX9,305
A7MBM2,306
A7MCY6,307
A7MD48,308
A8CG34,309
A8K0R7,310
A8K0Z3,311
A8K4G0,312
A8K5M9,313
A8K7I4,314
A8K855,315
A8K8P3,316
A8MPX8,317
A8MQ14,318
A8MQB3,319
A8MQT2,320
A8MT19,321
A8MT66,322
A8MTI9,323
A8MTJ3,324
A8MTL9,325
A8MUP6,326
A8MUU1,327
A8MV23,328
A8MV24,329
A8MV81,330
A8MVJ9,331
A8MVM7,332
A8MVU1,333
A8MVW0,334
A8MVX0,335
A8MW92,336
A8MW95,337
A8MW99,338
A8MWA6,339
A8MWE9,340
A8MWX3,341
A8MWY0,342
A8MX19,343
A8MX76,344
A8MXE2,345
A8MXJ8,346
A8MXV4,347
A8MXZ1,348
A8MYA2,349
A8MYB1,350
A8MYJ7,351
A8MYP8,352
A8MYU2,353
A8MYV0,354
A8MZG2,355
A8TX70,356
A9QM74,357
A9YTQ3,358
A9Z1Z3,359
B0FP48,360
B0I1T2,361
B1AH88,362
B1AJZ9,363
B1AK53,364
B1AKI9,365
B1AL46,366
B1ANS9,367
B2RC85,368
B2RD01,369
B2RN74,370
B2RPK0,371
B2RTY4,372
B2RU33,373
B2RXF0,374
B2RXH2,375
B2RXH8,376
B3KS81,377
B4DH59,378
B4DZS4,379
B4E2M5,380
B5MCN3,381
B5MCY1,382
B5MD39,383
B5ME19,384
B6SEH8,385
B6SEH9,386
B7Z368,387
B7Z6K7,388
B7ZW38,389
B9A064,390
C0HLS1,391
C0HLV8,392
C4AMC7,393
C9J1S8,394
C9J3V5,395
C9JE40,396
C9JH25,397
C9JLR9,398
C9JN71,399
C9JPN9,400
C9JRZ8,401
C9JTQ0,402
D6RA61,403
D6RCP7,404
D6RIA3,405
E2RYF6,406
E2RYF7,407
E5RIL1,408
E5RJM6,409
E7EW31,410
E9PAV3,411
F2Z3M2,412
F5H284,413
F5H4B4,414
F8W1W9,415
F8WCM5,416
G2XKQ0,417
G9CGD6,418
H0UI37,419
H3BPF8,420
H3BPM6,421
H3BQB6,422
H3BQW9,423
H3BUK9,424
H7BZ55,425
H7C350,426
I0J062,427
I6L899,428
M0QZC1,429
M0R2J8,430
O00110,431
O00116,432
O00139,433
O00142,434
O00148,435
O00151,436
O00154,437
O00155,438
O00159,439
O00160,440
O00161,441
O00165,442
O00170,443
O00178,444
O00182,445
O00186,446
O00187,447
O00192,448
O00203,449
O00206,450
O00212,451
O00213,452
O00214,453
O00217,454
O00219,455
O00220,456
O00221,457
O00222,458
O00231,459
O00232,460
O00233,461
O00257,462
O00258,463
O00264,464
O00267,465
O00268,466
O00273,467
O00291,468
O00292,469
O00294,470
O00295,471
O00299,472
O00303,473
O00308,474
O00311,475
O00327,476
O00329,477
O00330,478
O00338,479
O00339,480
O00370,481
O00391,482
O00400,483
O00401,484
O00408,485
O00409,486
O00410,487
O00411,488
O00421,489
O00429,490
O00442,491
O00443,492
O00444,493
O00451,494
O00459,495
O00461,496
O00463,497
O00468,498
O00469,499
O00471,500
O00472,501
O00478,502
O00481,503
O00483,504
O00487,505
O00488,506
O00499,507
O00501,508
O00505,509
O00506,510
O00507,511
O00512,512
O00515,513
O00533,514
O00534,515
O00548,516
O00555,517
O00560,518
O00562,519
O00566,520
O00567,521
O00571,522
O00602,523
O00628,524
O00629,525
O00635,526
O00716,527
O00750,528
O00754,529
O00755,530
O00757,531
O00762,532
O00763,533
O00764,534
O00767,535
O14490,536
O14492,537
O14497,538
O14503,539
O14511,540
O14513,541
O14514,542
O14522,543
O14525,544
O14526,545
O14529,546
O14530,547
O14559,548
O14562,549
O14578,550
O14579,551
O14594,552
O14607,553
O14617,554
O14618,555
O14628,556
O14639,557
O14640,558
O14646,559
O14647,560
O14653,561
O14654,562
O14656,563
